Campaign ID,Product Name,Category,Ad Spend (INR),Impressions,Clicks,Conversions,Revenue (INR),ROI,Campaign Date,Marketing Channel
CAMPAIGN00001,Chocolate,Snacks,3844.96,265053,3952,636,283705.04,72.79,01-12-2024,Email Campaign
CAMPAIGN00002,Cold Drink,Beverages,1890.3,466411,41016,2957,939130.89,495.82,05-01-2025,Influencer Marketing
CAMPAIGN00003,Moisturizer,Personal Care,1358.76,21229,825,81,19489.79,13.34,13-11-2024,Email Campaign
CAMPAIGN00004,Chocolate,Snacks,4565.75,311612,19953,1306,590161.55,128.26,02-01-2025,Instagram Ads
CAMPAIGN00005,Floor Cleaner,Household,207.38,337554,15889,2110,726598,3502.7,16-12-2024,Influencer Marketing
CAMPAIGN00006,Toothpaste,Personal Care,683.18,11742,418,52,14964.29,20.9,31-12-2024,Google Ads
CAMPAIGN00007,Milk,Groceries,2988.39,146995,13728,2705,650612.48,216.71,11-12-2024,Email Campaign
CAMPAIGN00008,Air Freshener,Household,1806.72,481141,20040,2836,528106.42,291.3,23-11-2024,Instagram Ads
CAMPAIGN00009,Coffee,Beverages,1638.25,478563,16899,1680,698446.86,425.34,25-12-2024,Google Ads
CAMPAIGN00010,Garbage Bags,Household,2569.97,372607,18103,2384,380760.92,147.16,12-11-2024,Instagram Ads
CAMPAIGN00011,Chips,Snacks,53.48,206230,161,6,537.2,9.04,01-02-2025,Google Ads
CAMPAIGN00012,Soap,Personal Care,56.06,174725,12301,2029,841840.45,15015.78,05-01-2025,Influencer Marketing
CAMPAIGN00013,Chips,Snacks,2942.27,498899,3756,528,154233.82,51.42,08-01-2025,Referral
CAMPAIGN00014,Moisturizer,Personal Care,1286.89,391081,1041,107,32338.33,24.13,10-01-2025,Referral
CAMPAIGN00015,Soap,Personal Care,1792.42,417754,27767,2023,952826.92,530.59,02-12-2024,Instagram Ads
CAMPAIGN00016,Chips,Snacks,2571.37,172242,14419,2214,451252.2,174.49,21-11-2024,Influencer Marketing
CAMPAIGN00017,Eggs,Groceries,1432.65,231561,7280,754,132047.4,91.17,06-01-2025,Referral
CAMPAIGN00018,Biscuits,Snacks,3092.43,424138,10120,1350,165203.1,52.42,22-11-2024,Referral
CAMPAIGN00019,Eggs,Groceries,2843.32,486993,32490,438,213272.59,74.01,08-01-2025,Influencer Marketing
CAMPAIGN00020,Soap,Personal Care,4905.4,306005,7665,675,245579.36,49.06,30-01-2025,Referral
CAMPAIGN00021,Soap,Personal Care,3161.76,194685,15742,1809,412895.14,129.59,18-12-2024,Google Ads
CAMPAIGN00022,Moisturizer,Personal Care,169.99,213808,12074,1235,373130.71,2194.02,20-01-2025,Email Campaign
CAMPAIGN00023,Cooking Oil,Groceries,3954.74,440661,4496,295,38878.09,8.83,10-12-2024,Email Campaign
CAMPAIGN00024,Cold Drink,Beverages,673.74,307586,25179,3683,1177248.39,1746.33,22-12-2024,Referral
CAMPAIGN00025,Chocolate,Snacks,153.23,105222,945,55,24211.85,157.01,01-12-2024,Instagram Ads
CAMPAIGN00026,Tea,Beverages,1687.97,217838,16383,813,233340.47,137.24,08-12-2024,Google Ads
CAMPAIGN00027,Air Freshener,Household,4671.3,14095,723,106,37941.52,7.12,20-01-2025,Instagram Ads
CAMPAIGN00028,Face Wash,Personal Care,1956.94,274989,15070,1399,361125.21,183.54,08-01-2025,Instagram Ads
CAMPAIGN00029,Wheat Flour,Groceries,3719.33,344568,29968,5567,2063585.76,553.83,03-12-2024,Email Campaign
CAMPAIGN00030,Coffee,Beverages,3015.71,266505,20842,1432,510022.36,168.12,17-12-2024,Instagram Ads
CAMPAIGN00031,Floor Cleaner,Household,4552,50215,425,79,19443.37,3.27,02-01-2025,Email Campaign
CAMPAIGN00032,Nuts,Snacks,257.82,137461,9294,11,2498.88,8.69,03-02-2025,Influencer Marketing
CAMPAIGN00033,Air Freshener,Household,1654.28,92529,1409,191,29359.5,16.75,06-01-2025,Email Campaign
CAMPAIGN00034,Face Wash,Personal Care,4526.77,335495,29115,4073,1336886.06,294.33,06-01-2025,Influencer Marketing
CAMPAIGN00035,Dishwasher Liquid,Household,226.17,393844,37730,2486,932621.2,4122.54,21-01-2025,Google Ads
CAMPAIGN00036,Cooking Oil,Groceries,2146.23,41623,2472,156,20633.66,8.61,20-01-2025,Influencer Marketing
CAMPAIGN00037,Chips,Snacks,3197.45,485645,9668,828,319586.89,98.95,20-01-2025,Email Campaign
CAMPAIGN00038,Energy Drink,Beverages,1967.32,442718,8750,1542,202255.5,101.81,05-01-2025,Email Campaign
CAMPAIGN00039,Cold Drink,Beverages,1777.66,190106,10437,842,264490.21,147.79,18-01-2025,Email Campaign
CAMPAIGN00040,Detergent,Household,982.58,51689,1187,146,68540.93,68.76,25-01-2025,Instagram Ads
CAMPAIGN00041,Chocolate,Snacks,2900.41,435390,37926,257,39652.74,12.67,06-12-2024,Google Ads
CAMPAIGN00042,Cold Drink,Beverages,4758.45,159649,8405,674,177728.9,36.35,01-12-2024,Instagram Ads
CAMPAIGN00043,Cooking Oil,Groceries,4378.38,386085,3050,161,63488.04,13.5,17-11-2024,Email Campaign
CAMPAIGN00044,Moisturizer,Personal Care,1065.68,92855,8411,281,50876.47,46.74,28-11-2024,Google Ads
CAMPAIGN00045,Garbage Bags,Household,2633.71,23062,277,54,13883.32,4.27,15-11-2024,Google Ads
CAMPAIGN00046,Coffee,Beverages,1405.09,265712,12185,1546,80018.88,55.95,21-12-2024,Instagram Ads
CAMPAIGN00047,Toothpaste,Personal Care,1163.85,299044,23402,812,245684.51,210.1,09-01-2025,Email Campaign
CAMPAIGN00048,Juice,Beverages,1262.24,147689,9458,402,95838.67,74.93,10-12-2024,Instagram Ads
CAMPAIGN00049,Cold Drink,Beverages,4576.49,74152,2226,282,87440.56,18.11,08-02-2025,Instagram Ads
CAMPAIGN00050,Eggs,Groceries,697.88,174280,14021,2610,1265412.08,1812.22,12-12-2024,Referral
CAMPAIGN00051,Juice,Beverages,3297.6,112090,3533,262,22342.71,5.78,15-11-2024,Google Ads
CAMPAIGN00052,Milk,Groceries,1942.48,70023,3990,213,23038.52,10.86,29-01-2025,Influencer Marketing
CAMPAIGN00053,Soap,Personal Care,3463.98,402604,32026,3190,1517870.99,437.19,03-01-2025,Referral
CAMPAIGN00054,Eggs,Groceries,4185.75,105449,364,6,2150.3,-0.49,09-12-2024,Google Ads
CAMPAIGN00055,Chips,Snacks,376.52,162536,15963,2281,304700.01,808.25,06-02-2025,Influencer Marketing
CAMPAIGN00056,Moisturizer,Personal Care,527.64,269839,5853,59,11652.82,21.08,04-02-2025,Referral
CAMPAIGN00057,Rice,Groceries,4670.39,482233,40550,6533,1853021.51,395.76,15-11-2024,Referral
CAMPAIGN00058,Chocolate,Snacks,4672.48,185271,10163,1479,300585.72,63.33,24-01-2025,Referral
CAMPAIGN00059,Floor Cleaner,Household,4150.69,373700,20789,3139,946761.61,227.1,22-12-2024,Instagram Ads
CAMPAIGN00060,Eggs,Groceries,992.4,395968,37706,6539,2616044.45,2635.08,14-12-2024,Referral
CAMPAIGN00061,Floor Cleaner,Household,4310.49,442481,23984,4738,766837.94,176.9,22-11-2024,Google Ads
CAMPAIGN00062,Garbage Bags,Household,4674.51,7585,387,47,7872.57,0.68,26-01-2025,Google Ads
CAMPAIGN00063,Garbage Bags,Household,204.8,392517,33885,5240,1351494.23,6598.09,07-01-2025,Influencer Marketing
CAMPAIGN00064,Toothpaste,Personal Care,2349.56,195999,4217,546,239134.14,100.78,07-02-2025,Influencer Marketing
CAMPAIGN00065,Tea,Beverages,2437.27,258381,21037,1533,625663.06,255.71,13-11-2024,Instagram Ads
CAMPAIGN00066,Dishwasher Liquid,Household,1124.01,499887,49918,8919,3203250.86,2848.84,27-12-2024,Google Ads
CAMPAIGN00067,Detergent,Household,4436.61,351597,27366,266,16698.06,2.76,19-01-2025,Email Campaign
CAMPAIGN00068,Eggs,Groceries,830.77,426152,25899,1202,578598.5,695.46,01-02-2025,Google Ads
CAMPAIGN00069,Soap,Personal Care,818.23,147676,8094,843,157498.59,191.49,14-01-2025,Influencer Marketing
CAMPAIGN00070,Protein Bar,Snacks,257.24,340153,13536,1311,249020.12,967.05,05-02-2025,Influencer Marketing
CAMPAIGN00071,Coffee,Beverages,1124.95,119315,11433,1102,383628.66,340.02,05-02-2025,Referral
CAMPAIGN00072,Detergent,Household,473.09,421430,24235,1450,156364.14,329.52,23-01-2025,Google Ads
CAMPAIGN00073,Shampoo,Personal Care,176.33,169875,2776,460,74856.87,423.53,14-12-2024,Email Campaign
CAMPAIGN00074,Milk,Groceries,3125.2,28079,1889,232,83976.37,25.87,03-02-2025,Referral
CAMPAIGN00075,Nuts,Snacks,1785.42,269250,25328,4731,2354903.16,1317.96,19-11-2024,Instagram Ads
CAMPAIGN00076,Air Freshener,Household,2358.75,118066,2007,343,73505.57,30.16,19-01-2025,Email Campaign
CAMPAIGN00077,Coffee,Beverages,4855.99,4656,256,5,2097.9,-0.57,17-01-2025,Influencer Marketing
CAMPAIGN00078,Energy Drink,Beverages,1380.24,155616,3492,198,63229.92,44.81,22-11-2024,Influencer Marketing
CAMPAIGN00079,Cooking Oil,Groceries,1168.82,375483,28051,3749,1344527.6,1149.33,15-01-2025,Google Ads
CAMPAIGN00080,Coffee,Beverages,4084.06,78810,401,9,937.29,-0.77,28-01-2025,Influencer Marketing
CAMPAIGN00081,Dishwasher Liquid,Household,1299.95,317994,24953,3111,1201953.76,923.62,24-12-2024,Referral
CAMPAIGN00082,Chocolate,Snacks,3228.89,276263,24366,1444,295378.91,90.48,17-01-2025,Referral
CAMPAIGN00083,Rice,Groceries,4780.51,58280,1938,126,54073.69,10.31,18-12-2024,Instagram Ads
CAMPAIGN00084,Garbage Bags,Household,515.2,367966,13010,1363,499025.37,967.61,14-12-2024,Email Campaign
CAMPAIGN00085,Air Freshener,Household,179.35,78143,6828,660,286217.73,1594.86,24-01-2025,Email Campaign
CAMPAIGN00086,Wheat Flour,Groceries,4241.82,99450,9821,87,18036.67,3.25,20-12-2024,Referral
CAMPAIGN00087,Milk,Groceries,1456.46,452311,36211,1807,419831.69,287.25,18-12-2024,Google Ads
CAMPAIGN00088,Garbage Bags,Household,4082.04,92702,5633,272,61285.55,14.01,17-12-2024,Google Ads
CAMPAIGN00089,Biscuits,Snacks,199.37,484083,3427,145,44338.58,221.39,19-01-2025,Instagram Ads
CAMPAIGN00090,Soap,Personal Care,914.11,228673,19274,1200,451621.77,493.06,27-01-2025,Instagram Ads
CAMPAIGN00091,Rice,Groceries,1417.02,466550,8744,327,47245.67,32.34,09-01-2025,Google Ads
CAMPAIGN00092,Coffee,Beverages,4438.91,464660,26716,2655,972501.34,218.09,26-11-2024,Google Ads
CAMPAIGN00093,Eggs,Groceries,4959.97,122163,4111,181,69721.93,13.06,05-02-2025,Influencer Marketing
CAMPAIGN00094,Moisturizer,Personal Care,4699.2,92456,6347,1056,488593.97,102.97,19-01-2025,Referral
CAMPAIGN00095,Protein Bar,Snacks,1121.69,479547,19114,2907,355046.99,315.53,24-11-2024,Google Ads
CAMPAIGN00096,Milk,Groceries,2331.26,170831,5216,924,131290.75,55.32,30-11-2024,Instagram Ads
CAMPAIGN00097,Toothpaste,Personal Care,1307.08,385870,2062,56,20211.92,14.46,08-01-2025,Referral
CAMPAIGN00098,Chips,Snacks,801.24,285317,23564,957,121214.86,150.28,13-01-2025,Instagram Ads
CAMPAIGN00099,Energy Drink,Beverages,541.08,131434,4145,762,290813.28,536.47,18-11-2024,Instagram Ads
CAMPAIGN00100,Milk,Groceries,3967.68,135472,6562,802,272058.8,67.57,27-12-2024,Influencer Marketing
CAMPAIGN00101,Air Freshener,Household,2634.3,435522,1611,23,9328.14,2.54,09-12-2024,Influencer Marketing
CAMPAIGN00102,Detergent,Household,1278.08,232563,11826,489,110015.54,85.08,20-11-2024,Referral
CAMPAIGN00103,Toothpaste,Personal Care,2167.57,471430,34402,2302,222574.84,101.68,05-01-2025,Referral
CAMPAIGN00104,Nuts,Snacks,1045.9,226263,12148,1834,716535.3,684.09,08-01-2025,Influencer Marketing
CAMPAIGN00105,Garbage Bags,Household,1363.31,453751,1676,152,46991.18,33.47,28-01-2025,Google Ads
CAMPAIGN00106,Wheat Flour,Groceries,656.61,223913,3637,38,12120.25,17.46,26-11-2024,Google Ads
CAMPAIGN00107,Toothpaste,Personal Care,1227.27,482019,43124,3967,853274.82,694.26,22-11-2024,Email Campaign
CAMPAIGN00108,Protein Bar,Snacks,3605.5,426754,166,6,2275.1,-0.37,23-01-2025,Instagram Ads
